id,company,url,location,positionName,salary,description
76,Envelor Corporation,https://www.indeed.co.in/rc/clk?jk=46a7f78804e38907&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Senior Python Developer,,"Envelor, a fast growing Home and Garden global brand based in USA is looking for Python developers to be part of our global team.
Why join our Team

 Excellent salary and performance bonus
 Very good exposure to US and global marketplace
 Planned career growth
 Opportunity to learn and grow with a growing company
 Very supportive senior management

Responsibilities

 Will be involved in development and delivery of Python applications .
 Understanding business requirements and translating them into technical solutions.
 Ideal candidate will be hardworking and open to learn and grow with company.
 At least 2 years experience in Python development leveraging frameworks.
 Strong MySQL skills with ability to design and write complex SQL queries.
 Proficient in Bootstrap , HTML5, CSS3, JavaScript, jQuery and other JS libraries.
 Experience building scalable applications using RESTful APIs and latest frameworks
 Strong coding experience in Python and/or other programming languages is a must.

Qualifications and Skills

 Minimum experience of 2 to 3 years in Python using advanced libraries and APIs
 Knowledge of Linux OS, IDE & version control systems (Bitbucket, GitHub or SVN) is a plus
 Experience working with Cloud development and deployment is a plus
 Experience working on cloud based Data Analytics platform e.g. BigQuery, AWS Redshift

Job Types: Permanent, Full-time, Fresher
Benefits:

 Paid sick time
 Paid time off

Schedule:

 Monday to Friday

Tipe Lokasi:

 In-person

Ability to commute/relocate:

 Coimbatore North, Coimbatore - 641004, Tamil Nadu: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

 SQL: 2 years (Preferred)
 Software development: 3 years (Required)
 Python: 2 years (Required)

Work Location: In person"
77,CloudSwan Solutions,https://www.indeed.co.in/rc/clk?jk=8723d2ae4051beb2&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Software Developer,"₹8,524 - ₹42,268 a month","Overview: We are seeking a highly skilled and motivated Software Developer to join our dynamic team. As a Software Developer, you will be responsible for designing, developing, testing, and deploying high-quality software solutions. You will collaborate with cross-functional teams to define, design, and ship new features, and you will work with external data sources and APIs. The ideal candidate has a strong background in software development, excellent problem-solving skills, and a passion for staying current with emerging technologies.
Key Responsibilities:

 Software Development: Write clean, scalable, and maintainable code that meets industry standards. Develop software solutions by studying information needs, conferring with users, and studying systems flow, data usage, and work processes.
 Design and Architecture: Collaborate with software architects to design robust, scalable, and efficient software architectures. Create technical specifications and design documents.
 Programming: Code and test software based upon software specifications and design. Troubleshoot and resolve software defects and issues in existing systems.
 Collaboration: Work closely with cross-functional teams, including product managers, designers, and other developers, to translate requirements into high-quality software solutions.
 Version Control: Use version control systems to track changes and collaborate with other developers.
 Testing and Debugging: Conduct unit testing and integration testing for the developed software components. Debug and resolve issues in a timely manner.
 Documentation: Create and maintain technical documentation related to the software, including specifications, architecture, and user manuals.
 Continuous Learning: Stay up-to-date with emerging technologies and industry trends. Continuously improve skills and knowledge to remain current in the software development landscape.
 Deployment: Assist in deploying applications to various environments, troubleshoot deployment issues, and monitor system performance post-deployment.

Qualifications:

 Bachelor's degree in Computer Science, Software Engineering, or related field (or equivalent work experience).
 Proven experience as a Software Developer, Software Engineer, or similar role.
 Proficiency in one or more programming languages such as Java, Python, C++, or JavaScript.
 Familiarity with various software development methodologies (Agile, Scrum, etc.).
 Strong problem-solving skills and attention to detail.
 Knowledge of software testing and debugging practices.
 Experience with version control systems (e.g., Git).
 Excellent communication and collaboration skills.
 Ability to work independently and in a team environment.

Preferred Skills:

 Experience with web development frameworks (e.g., Django, Ruby on Rails, React, Angular).
 Knowledge of database management systems (e.g., SQL, MongoDB, PostgreSQL).
 Familiarity with cloud platforms and services (e.g., AWS, Azure, Google Cloud).
 Understanding of mobile app development for iOS and Android platforms.
 Knowledge of cybersecurity best practices and principles.

Benefits:

 Competitive salary and performance-based incentives.
 Health, dental, and vision insurance.
 Retirement savings plans.
 Paid time off and flexible work hours.
 Opportunities for professional development and training.

If you are a passionate and skilled Software Developer looking for an exciting opportunity to contribute to innovative projects, we invite you to apply. Join our team and be part of shaping the future of technology.
Top of Form
Job Type: Full-time
Salary: ₹8,523.87 - ₹42,267.53 per month
Benefits:

 Cell phone reimbursement
 Health insurance

Schedule:

 Morning shift

Supplemental pay types:

 Yearly bonus

Ability to commute/relocate:

 Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 .NET: 1 year (Preferred)
 total work: 1 year (Preferred)
 Java: 1 year (Preferred)

Speak with the employer+91 8903835098"
78,Dotcod Innovation Private Limited,https://www.indeed.co.in/rc/clk?jk=def5b81281d356cc&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Python/Django Developer,"₹5,00,000 - ₹12,20,095 a year","Experience : 5+ Years
Job description
We are looking for a Backend Developer who has 5+ years of experience in designing,
developing and implementing secure backend services using Python and Django.
Must Have Skills:
● Expertise in Core Python with good code quality
● Good Knowledge in building Restful APIs using Django Rest Framework
● Experience with RDBMS(PostgreSQL or MySQL)
● Good Knowledge in Django ORM concepts and SQL queries
● Should be able to design and implement complex and large features
● Proficiency with Git
● Familiar with Linux Commands
● Must have strong debugging and problem-solving skills
● Deep knowledge of computer science fundamentals such as Object oriented
programming concepts, design patterns, and data structures
Good to have Skills:
● Knowledge in Redis or MemCached
● Working experience in Celery
● Any NoSQL Database
● Knowledge in Microservices
● CI/CD and Docker
Experience: 5+ years
Roles and Responsibilities:
● Designing and Building a Secure backend to implement the business logic.
● Writing Maintainable, Understandable, Testable, Efficient and Reusable Code.
● Ability to design and code complex features.
● Writing unit test cases to support test driven development.
● Writing clear documentation.
● A quick learner, being able to adapt to new technologies.
● Logical thinking and problem solving skills along with an ability to collaborate
● Good understanding of SDLC and agile methodologies
● Influencing peers, juniors and seniors both within the organization and across
Job Type: Full-time
Salary: ₹500,000.00 - ₹1,220,095.42 per year
Benefits:

 Health insurance
 Work from home

Schedule:

 Day shift

Tipe Lokasi:

 In-person

Ability to commute/relocate:

 Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Python: 5 years (Preferred)

Work Location: In person"
79,veega service,https://www.indeed.co.in/rc/clk?jk=1854342609f043fd&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Sr. (Python Developer),"Up to ₹40,000 a month","We Have Opening for Sr. Python Developer
Skills: Django Framework, Python
Experience: 4+ Years
Location: Coimbatore
Job Type: Full-time
Pay: Up to ₹40,000.00 per month
Schedule:

 Day shift

Ability to commute/relocate:

 Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 Python: 1 year (Preferred)
 total work: 1 year (Preferred)

Speak with the employer+91 8925454448"
80,Mind Spark Technologies,https://www.indeed.co.in/rc/clk?jk=247ff5eb642d69cb&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Web Developer,,"Are you curious, bestowed with a creative and analytical mind?
We have an opening for a Web Developer at Mind Spark Technologies. As a Web Developer, you will manage data flow between the server and users, as well as translate UI/UX design wireframes into source code that creates the application's visual aspects. You will also design the web application's overall architecture and assure its performance and stability.

 Solid knowledge of Programming Application
 In-Depth Knowledge of database technologies
 Familiarity with programming languages such as Python, PHP, or JavaScript Node.js, React.js, and Angular.js
 It's a plus if you're familiar with different MVC frameworks
 Experience with popular web development frameworks like React, Angular, Vue.js, Django, Ruby on Rails, or Larave
 Competence with MVC frameworks such as Codeigniter and Laravel
 Proficiency in designing and creating websites and web applications using HTML, CSS, and JavaScript
 Comprehensive knowledge of User Interface Workflows
 Knowledge of database management systems such as MySQL, PostgreSQL, MongoDB, or SQLite
 Impeccable experience in using version control systems like Git
 Create visual elements from UI/UX wireframes
 Proficient with a mockup and UI prototyping tools
 Knowledge of wireframe and diagnostic tools
 Extensive knowledge of API, jQuery, security principles, REST, SOAP, and web user interface design
 Proficiency with content management systems, including WordPress and Drupal
 Proven Experience with Windows and Linux environments
 Hands-on experience with cross-browser compatibility
 Proven experience with Web performance optimization
 Ability to perform debugging and testing to ensure proper functionality and bug free Web applications
 Bestow with creativity to create visually appealing and user-friendly interfaces, incorporating UX principles

Education and Experience:

 Experience: 4 - 5 Years
 Role: Web DeveloperEmployment Type: Full-Time, Permanent
 Role Category: Web Development
 UG: Any Graduate
 PG: Any Postgraduate

Responsibilities:

 Designing, coding, and implementing websites and web applications using HTML, CSS, JavaScript, and other relevant technologies
 Creating the user interface (UI) and user experience (UX) components of websites, ensuring they are visually appealing, responsive, and user-friendly.
 Developing the server-side logic, databases, and APIs required for web applications, utilizing programming languages like Python, PHP, Ruby, or JavaScript (Node.js) and more
 Utilizing web development frameworks such as React Js, Angular Js, Django, Ruby on Rails, or Laravel to streamline the development process and enhance efficiency
 Designing and implementing database structures, managing data storage, and integrating database technologies like MySQL, PostgreSQL, MongoDB, or SQLite
 Conducting thorough testing of websites and web applications to identify and fix bugs, errors, and issues, ensuring smooth functionality
 Optimizing websites for performance, speed, and scalability by implementing techniques like caching, code minification, image optimization, and content delivery networks (CDNs)
 Ensuring websites are responsive and compatible with various devices and screen sizes, utilizing techniques like media queries and responsive frameworks
 Security Integrating security measures to protect websites from vulnerabilities and potential attacks, including data encryption, secure authentication, and input validation
 Working closely with designers, content creators, and other team members to understand project requirements, collaborate on design and functionality, and ensure effective communication throughout the development process
 Utilizing version control systems like Git for code management, tracking changes, and collaborating with other developers, as well as deploying websites to production servers
 Staying updated with the latest web development trends, technologies, and best practices, continuously improving skills through learning and professional development activities.

Job Type: Full-time
Schedule:

 Day shift

Ability to commute/relocate:

 Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 Php, Laravel: 5 years (Preferred)

Speak with the employer+91 9865263377"
81,Dotcod Innovation Private Limited,https://www.indeed.co.in/rc/clk?jk=ec23794763a0a3df&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",python Developer,"₹2,00,000 - ₹3,00,000 a year","Experience : 1 yr
Skills : Python, Machine Learning

 Bachelor's degree in Computer Science, Data Science, or a related field (or equivalent work experience).
 6 to 12 months of hands-on experience in Python programming.
 Familiarity with machine learning libraries and frameworks.
 Basic knowledge of data preprocessing, feature engineering, and model evaluation.
 Strong problem-solving skills and attention to detail.
 Excellent communication and interpersonal skills.
 Ability to work independently and in a team.
 Willingness to travel and work on customer sites to implement solutions.
 Enthusiasm for working with AI and machine learning technologies

Responsibilities :

 Collaborate closely with clients to develop and implement AI-based defect detection algorithms and models using Python.
 Collect, preprocess, and analyze data to train and validate machine learning models.
 Fine-tune models to optimize their performance and accuracy.
 Integrate AI solutions into the client's existing systems and workflows.
 Monitor and maintain deployed models, ensuring they continue to perform effectively.
 Work with cross-functional teams to ensure successful project execution.
 Provide training and support to clients on using and maintaining AI defect detection systems.
 Troubleshoot and debug issues as they arise during implementation.
 Stay updated on the latest developments in AI and machine learning relevant to defect detection.

Job Type: Full-time
Salary: ₹200,000.00 - ₹300,000.00 per year
Benefits:

 Health insurance

Schedule:

 Day shift

Supplemental pay types:

 Performance bonus

Ability to commute/relocate:

 Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 Python: 1 year (Preferred)
 Machine learning: 1 year (Preferred)"
82,TilliT Solutions,https://www.indeed.co.in/rc/clk?jk=99638344261c1108&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Full Stack Developer,"Up to ₹22,00,000 a year","7+ Years of experience in Software Development
 A Full Stack Developer to work within the Development team to design and develop the key application/product
 Develop high-quality and scalable solutions using leading technologies like PHP, MySQL, Python, and others.
 Produce appropriate design artefacts using HTML/CSS, JavaScript, including UI & UX design, prototypes, scalability, etc.
 Deep experience in PHP and component-based UI frameworks
 Knowledge in React.js, Node.js, and/or Vue.js
 Strong MySQL required and ER(Entity Relationship Model) modelling skills a plus
 Experience in developing SAAS products and healthcare industry models is a plus.
 Industry: Healthcare, Engineering, Information Technology & Services / Computer Software
 Work from Office
 Immediate to 15 days of notice period candidates only
 Salary - Max.15 LPA
 Job Location - Pappanaicken Palayam, Coimbatore

Job Type: Full-time
Salary: Up to ₹2,200,000.00 per year
Schedule:

 Day shift

Ability to commute/relocate:

 Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

 What is your Notice Period?

Education:

 Bachelor's (Preferred)

Experience:

 MySQL: 7 years (Required)
 PHP: 7 years (Required)

Speak with the employer+91 9150229222"
83,Arion media corp,https://www.indeed.co.in/rc/clk?jk=94599cc6b74b89a5&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Python Developer,"₹10,000 - ₹40,000 a month","We are looking for a Python Web Developer with minimum 2 years of experience to develop and manage web application in Django.- The candidate will develop all of the server-side logic, ensuring high performance and responsiveness to requests from the front-end.- You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities:- Design and implementation of low-latency, high-availability, and performance applications- Research and develop scripts- Writing reusable, testable, and efficient code- Integration of user-facing elements developed by front-end developers with server side logic- Implementation of security and data protection- Integration of data storage solutions
Skills: python, Django, Javascript, AWS

 Have 3+ years of experience writing and shipping backend code.
 Must have development experience with Python.
 Should be comfortable spinning up, managing, monitoring, and reasoning about infrastructure on AWS or GCP
 Know your way around database systems, whether SQL, NoSQL, and can talk about how to pick one over the other
 Experience designing and implementing RESTful APIs
 Write performant, optimized, clean, legible, and testable code.
 Excellent debugging, optimization and troubleshooting skills.
 Unit/integration testing experience.
 Experience in participating code reviews and have the ability to provide constructive feedback.

Location : Coimbatore (Work from Office)
Salary : As per market Standards
Job Type: Full-time
Salary: ₹10,000.00 - ₹40,000.00 per month
Benefits:

 Food provided
 Health insurance
 Life insurance
 Paid time off

Schedule:

 Day shift

Ability to commute/relocate:

 Vadavalli, Coimbatore - 641041, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Expected Start Date: 16/10/2023"
84,Ericsson,https://www.indeed.co.in/rc/clk?jk=f714aed7c2101ce5&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu",Software Developer,,"About this opportunity 
 Do you want to work together in an engaged team?
  This is an opportunity to use your experience, learn new areas, accelerate your own skills, and make a considerable impact on our business!
  What will make a difference for us is your experience and competence but also your personality, and your ability to collaborate, facilitate, influence, and lead.
  We are now looking for a Software Developer with a genuine interest in technology and programming, to strengthen the Ericsson Support Systems Validation Tool (ESSVT) team within Software Pipeline & Support (SWPS) DevOps organization.
  ESSVT is a test framework that is used internally and externally across the full spectrum of the Business & Operations Support System (BOS) product portfolio in the various domains required to accomplish a true end-to-end software delivery pipeline, from a developer’s commit to software installed on customer premises. Your role will include all development activities such as: requirement analysis, software design, integration, verification, Product Lifecycle Management support and product documentation. Our focus is on Lean and Agile ways of working. We coordinate in cross functional development teams in which continuous improvement, innovation and knowledge sharing is part of the daily work.
  What you will do 
 
  Work with continues improvements and drive towards modern technologies
   Develop and test a Test framework used to validate customer deliveries and deployments 
  Perform trouble shooting and customer support
   Be part of an impactful team that can make a change in the organization
 
  You will bring 
 
  Education: MSc or BSc level in Software Engineering, IT or equivalent level of knowledge
   At least 5 years of experience in software and product development
   Phenomenal communication skills
   English proficiency, both written and spoken
   High knowledge and experience in Java programming (backend development)
   Solid understanding of R&D, Lean, and Agile principles
   Solid experience in Cloud Native technologies, e.g., Docker, Kubernetes
   Good knowledge of and experience in CI/CD and software testing, Python, Angular.
   You have high customer focus with high accountability for delivering high-quality products
   Furthermore, we believe you are curious, innovative, self-driven and collaborative
 
  Why join Ericsson?
  At Ericsson, you´ll have an outstanding opportunity. The chance to use your skills and creativity to push the boundaries of what´s possible. To build never seen before solutions to some of the world’s toughest problems. You´ll be challenged, but you won’t be alone. You´ll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next. 
 What happens once you apply?
  Click Here to find all you need to know about what our typical hiring process looks like.
 
  Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we champion it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team. 
 Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more."
85,M8 IT SOLUTIONS PVT LTD,https://www.indeed.co.in/rc/clk?jk=73da1b17598c19a7&from=jasx&tk=1hddks9q0k7h2800&vjs=3,"Coimbatore, Tamil Nadu","AZURE DevOps [3 years experience must, Coimbatore location Prefered]",,"Work Location: Coimbatore
work experience:3 to 5 years preferred
*Note: Immediate Joiners preferred

 Working with software developers and software engineers to ensure that development follows established processes and works as intended
 Planning projects and being involved in project management decisions
 Experience as a DevOps engineer
 Proficiency with Git and GitHub workflows
 Good knowledge of Python
 Working knowledge of databases and SQL
 Problem-solving attitude
 Collaborative team spirit

Job Type: Full-timePart-time hours: 16 per week
Schedule:

 Day shift
 Morning shift
 Rotational shift

Experience:

 total work: 3 years (Preferred)
 Azure: 3 years (Preferred)

Work Location: On the road
Speak with the employer+91 6380395979"
